Kategorija/Domen,Naziv (Engleski),Naziv (Srpski),snake_case,camelCase,PascalCase,kebab-case,UPPER_SNAKE,lowercase,SAP style,Oracle/QAD style,Salesforce style,Odoo style,MS Dynamics style,Skracenice,Alternativni nazivi,Tip podatka,Tipicna duzina,Primer vrednosti
Proizvodi/Materijali,Stock Quantity,Kolicina na stanju,stock_quantity,stockQuantity,StockQuantity,stock-quantity,STOCK_QUANTITY,stockquantity,LABST,ON_HAND,QuantityOnHand,qty_available,quantityonhand,stk_qty,"on_hand, inv_qty",DECIMAL,"15,3",100
Proizvodi/Materijali,Available Quantity,Raspoloziva kolicina,available_qty,availableQty,AvailableQty,available-qty,AVAILABLE_QTY,availableqty,MENGE_VERF,AVAIL_QTY,AvailableQty__c,qty_available,quantityavailable,avail_qty,free_stock,DECIMAL,"15,3",85
Proizvodi/Materijali,Reserved Quantity,Rezervisana kolicina,reserved_qty,reservedQty,ReservedQty,reserved-qty,RESERVED_QTY,reservedqty,RESERV,RESVD_QTY,ReservedQty__c,qty_reserved,quantityreserved,rsvd_qty,"allocated, blocked",DECIMAL,"15,3",15
Proizvodi/Materijali,Reorder Point,Tacka dopune,reorder_point,reorderPoint,ReorderPoint,reorder-point,REORDER_POINT,reorderpoint,MINBE,REORDER,ReorderPoint__c,reordering_min_qty,reorderpoint,rop,"min_stock, signal_qty",DECIMAL,"15,3",20
Proizvodi/Materijali,Min Stock Level,Minimalna zaliha,min_stock,minStock,MinStock,min-stock,MIN_STOCK,minstock,MABST,MIN_STOCK,MinStockLevel__c,minimum_stock,minstock,min_qty,"safety_stock, sigurn_zaliha",DECIMAL,"15,3",10
Proizvodi/Materijali,Max Stock Level,Maksimalna zaliha,max_stock,maxStock,MaxStock,max-stock,MAX_STOCK,maxstock,MAXBE,MAX_STOCK,MaxStockLevel__c,maximum_stock,maxstock,max_qty,ceiling_stock,DECIMAL,"15,3",500
Proizvodi/Materijali,Lead Time,Vreme nabavke,lead_time,leadTime,LeadTime,lead-time,LEAD_TIME,leadtime,PLIFZ,LEAD_TIME,LeadTime__c,sale_delay,leadtime,lt,procurement_time,INT,3,7
Proizvodi/Materijali,Shelf Life,Rok trajanja,shelf_life,shelfLife,ShelfLife,shelf-life,SHELF_LIFE,shelflife,MHDHB,SHELF_LIFE,ShelfLife__c,life_time,shelflife,sl,"expiry_period, rok_traj",INT,5,365
Proizvodi/Materijali,Expiry Date,Datum isteka,expiry_date,expiryDate,ExpiryDate,expiry-date,EXPIRY_DATE,expirydate,VFDAT,EXP_DATE,ExpirationDate__c,expiration_date,expirationdate,exp_dt,"best_before, rok_isteka",DATE,-,2027-04-15
Proizvodi/Materijali,Production Date,Datum proizvodnje,production_date,productionDate,ProductionDate,production-date,PRODUCTION_DATE,productiondate,HSDAT,PROD_DATE,ProductionDate__c,date_production,manufactureddate,prod_dt,manufacture_date,DATE,-,2026-04-01
Proizvodi/Materijali,Batch Number,Broj sarze,batch_number,batchNumber,BatchNumber,batch-number,BATCH_NUMBER,batchnumber,CHARG,BATCH_NO,Batch__c,lot_id,batchnumber,batch,"lot_no, sarza",VARCHAR,20,BATCH-2026-04
Proizvodi/Materijali,Lot Number,Broj lota,lot_number,lotNumber,LotNumber,lot-number,LOT_NUMBER,lotnumber,CHARG_LOT,LOT_NO,Lot__c,lot_id,lotnumber,lot,"lot, batch",VARCHAR,20,LOT-2026-001
Proizvodi/Materijali,Serial Number,Serijski broj,serial_number,serialNumber,SerialNumber,serial-number,SERIAL_NUMBER,serialnumber,SERNR,SER_NO,SerialNumber,serial,serialnumber,"sn, serno","sn_no, ser_id",VARCHAR,30,SN12345678
Proizvodi/Materijali,Country of Origin,Zemlja porekla,country_of_origin,countryOfOrigin,CountryOfOrigin,country-of-origin,COUNTRY_OF_ORIGIN,countryoforigin,HERKL,COO,CountryOfOrigin__c,origin_country_id,countryorigin,coo,origin,VARCHAR,100,China
Proizvodi/Materijali,HS Code,HS kod (carinski),hs_code,hsCode,HsCode,hs-code,HS_CODE,hscode,STAWN,HS_CODE,HSCode__c,hs_code,hscode,hs,"tariff_code, customs_code",VARCHAR,20,8471.3
Proizvodi/Materijali,Hazardous Material,Opasan materijal,is_hazardous,isHazardous,IsHazardous,is-hazardous,IS_HAZARDOUS,ishazardous,GEFGUT,HAZMAT,IsHazardous__c,hazmat,ishazardous,hazmat,dangerous_goods,BOOLEAN,-,FALSE
Proizvodi/Materijali,UN Number,UN broj,un_number,unNumber,UnNumber,un-number,UN_NUMBER,unnumber,UNNUM,UN_NUM,UNNumber__c,un_number,unnumber,un_no,un_id,VARCHAR,10,UN1234
Proizvodi/Materijali,Storage Conditions,Uslovi skladistenja,storage_conditions,storageConditions,StorageConditions,storage-conditions,STORAGE_CONDITIONS,storageconditions,LGORT_BED,STOR_COND,StorageConditions__c,storage_conditions,storageconditions,stor_cond,"keep_at, climate",VARCHAR,100,"Dry, 20�C"
Proizvodi/Materijali,Product Status,Status proizvoda,product_status,productStatus,ProductStatus,product-status,PRODUCT_STATUS,productstatus,MMSTA,PROD_STAT,Status,state,statuscode,prod_st,status,VARCHAR,20,Active
Proizvodi/Materijali,Lifecycle Status,Status zivotnog ciklusa,lifecycle_status,lifecycleStatus,LifecycleStatus,lifecycle-status,LIFECYCLE_STATUS,lifecyclestatus,LIFE_STAT,LIFECYCLE,LifecycleStatus__c,state,lifecyclestatus,lc_st,"lifecycle, plm_status",VARCHAR,30,Active
Proizvodi/Materijali,Image URL,URL slike,image_url,imageUrl,ImageUrl,image-url,IMAGE_URL,imageurl,BILD_URL,IMG_URL,PictureURL__c,image_1920,imageurl,img,"picture, photo_url",VARCHAR,500,/images/p001.jpg
Proizvodi/Materijali,Warranty Period,Garantni period,warranty_period,warrantyPeriod,WarrantyPeriod,warranty-period,WARRANTY_PERIOD,warrantyperiod,GARZE,WARRANTY,WarrantyPeriod__c,warranty,warrantyperiod,warr,"warranty_months, garancija",INT,5,24
Proizvodi/Materijali,Tax Category,Poreska kategorija,tax_category,taxCategory,TaxCategory,tax-category,TAX_CATEGORY,taxcategory,TAXKM,TAX_CAT,TaxCategory__c,tax_id,taxcategory,tx_cat,vat_category,VARCHAR,20,STANDARD
Proizvodi/Materijali,Procurement Type,Tip nabavke,procurement_type,procurementType,ProcurementType,procurement-type,PROCUREMENT_TYPE,procurementtype,BESKZ,PROC_TYPE,ProcurementType__c,route_ids,procurementtype,proc_type,sourcing_type,VARCHAR,20,Buy
Proizvodi/Materijali,Make/Buy Indicator,Make/Buy indikator,make_buy,makeBuy,MakeBuy,make-buy,MAKE_BUY,makebuy,SOBSL,MAKE_BUY,MakeBuy__c,make_buy,makebuy,mb,self_made_flag,VARCHAR,5,Buy
Proizvodi/Materijali,Drawing Number,Broj crteza,drawing_number,drawingNumber,DrawingNumber,drawing-number,DRAWING_NUMBER,drawingnumber,ZEINR,DRAW_NO,Drawing__c,drawing,drawingnumber,dwg,"blueprint, schema",VARCHAR,30,DWG-001
Proizvodi/Materijali,Revision,Revizija,revision,revision,Revision,revision,REVISION,revision,REVLV,REV,Revision__c,revision,revision,rev,"version, ver",VARCHAR,10,A
Proizvodi/Materijali,Version,Verzija,version,version,Version,version,VERSION,version,VERSI,VERSION,Version__c,version,versionnumber,ver,"release, v",VARCHAR,20,1.2.0
Skladiste,Warehouse ID,ID skladista,warehouse_id,warehouseId,WarehouseId,warehouse-id,WAREHOUSE_ID,warehouseid,LGNUM,WH_ID,Warehouse__c,warehouse_id,warehouseid,wh_id,"depot_id, magacin_id",INT/UUID,-,WH001
Skladiste,Warehouse Code,sifra skladista,warehouse_code,warehouseCode,WarehouseCode,warehouse-code,WAREHOUSE_CODE,warehousecode,LGNUM,WH_CODE,WarehouseCode__c,code,warehousecode,wh_cd,depot_code,VARCHAR,10,WH01
Skladiste,Warehouse Name,Naziv skladista,warehouse_name,warehouseName,WarehouseName,warehouse-name,WAREHOUSE_NAME,warehousename,LGNAM,WH_NAME,Name,name,name,wh_nm,depot_name,VARCHAR,100,Centralno skladiste
Skladiste,Storage Location,Lokacija skladista,storage_location,storageLocation,StorageLocation,storage-location,STORAGE_LOCATION,storagelocation,LGORT,STOR_LOC,StorageLocation__c,location_id,locationid,sloc,"stor_loc, mesto_skl",VARCHAR,20,LOC-A1
Skladiste,Bin Location,Lokacija police,bin_location,binLocation,BinLocation,bin-location,BIN_LOCATION,binlocation,LGPLA,BIN,BinLocation__c,bin_location,binlocation,bin,"slot, rack",VARCHAR,20,A-01-02
Skladiste,Aisle,Red/Aisle,aisle,aisle,Aisle,aisle,AISLE,aisle,AISLE,AISLE,Aisle__c,aisle,aisle,asl,corridor,VARCHAR,10,A1
Skladiste,Rack,Polica/Rack,rack,rack,Rack,rack,RACK,rack,REGAL,RACK,Rack__c,rack,rack,rk,shelf,VARCHAR,10,R12
Skladiste,Shelf,Polica,shelf,shelf,Shelf,shelf,SHELF,shelf,REGAL,SHELF,Shelf__c,shelf,shelf,shf,"tier, level",VARCHAR,10,S3
Skladiste,Bin,Bin,bin,bin,Bin,bin,BIN,bin,LGPLA,BIN,Bin__c,bin,bin,bin,slot,VARCHAR,10,B07
Skladiste,Zone,Zona,zone,zone,Zone,zone,ZONE,zone,LGTYP,ZONE,Zone__c,zone,zone,zn,area,VARCHAR,20,PICK
Skladiste,Section,Sekcija,section,section,Section,section,SECTION,section,LGSEKT,SECTION,Section__c,section,section,sec,area,VARCHAR,20,SEC-A
Skladiste,Stock On Hand,Stanje na stanju,stock_on_hand,stockOnHand,StockOnHand,stock-on-hand,STOCK_ON_HAND,stockonhand,LABST,SOH,OnHand__c,qty_available,onhandquantity,soh,"inv_qty, on_hand",DECIMAL,"15,3",100
Skladiste,Stock In Transit,Roba u tranzitu,stock_in_transit,stockInTransit,StockInTransit,stock-in-transit,STOCK_IN_TRANSIT,stockintransit,UMLAGER,IN_TRANSIT,InTransit__c,qty_in_transit,intransit,sit,transit_qty,DECIMAL,"15,3",25
Skladiste,Quarantine Stock,Karantinske zalihe,quarantine_stock,quarantineStock,QuarantineStock,quarantine-stock,QUARANTINE_STOCK,quarantinestock,SPEME,QUAR_STOCK,Quarantine__c,qty_quarantine,quarantinequantity,quar,blocked_stock,DECIMAL,"15,3",5
Skladiste,Blocked Stock,Blokirane zalihe,blocked_stock,blockedStock,BlockedStock,blocked-stock,BLOCKED_STOCK,blockedstock,SPERR,BLOCK_STOCK,BlockedStock__c,qty_blocked,blockedquantity,blk,"blocked, restricted",DECIMAL,"15,3",10
Skladiste,Receipt Number,Broj prijema,receipt_no,receiptNo,ReceiptNo,receipt-no,RECEIPT_NO,receiptno,MBLNR,RECEIPT_NO,GoodsReceipt__c,number,receiptid,rcpt_no,"grn, br_prijema",VARCHAR,30,GR-2026-001
Skladiste,Goods Receipt,Prijem robe,goods_receipt,goodsReceipt,GoodsReceipt,goods-receipt,GOODS_RECEIPT,goodsreceipt,WAREN_E,GOODS_RCPT,GoodsReceipt__c,picking_in,goodsreceiptid,gr,"grn, prijemnica",VARCHAR,30,GR-001
Skladiste,Goods Issue,Izdavanje robe,goods_issue,goodsIssue,GoodsIssue,goods-issue,GOODS_ISSUE,goodsissue,WAREN_A,GOODS_ISSUE,GoodsIssue__c,picking_out,goodsissueid,gi,"gin, izdanica",VARCHAR,30,GI-001
Skladiste,Pick List Number,Broj pikinga,pick_list_no,pickListNo,PickListNo,pick-list-no,PICK_LIST_NO,picklistno,TANUM,PICK_NO,PickList__c,pick_id,picklistnumber,pl_no,picking_no,VARCHAR,30,PL-2026-001
Skladiste,Putaway,Putaway,putaway,putaway,Putaway,putaway,PUTAWAY,putaway,EINLAG,PUTAWAY,Putaway__c,putaway,putawayid,pa,"stowing, slaganje",VARCHAR,30,PA-001
Skladiste,Inventory Count,Inventura,inventory_count,inventoryCount,InventoryCount,inventory-count,INVENTORY_COUNT,inventorycount,INVNUM,PHYS_CNT,PhysicalCount__c,inventory_id,inventoryid,inv_cnt,"physical_inventory, popis",VARCHAR,30,PI-2026-001
Skladiste,Cycle Count,Ciklicni popis,cycle_count,cycleCount,CycleCount,cycle-count,CYCLE_COUNT,cyclecount,CYCLE,CYCLE_CNT,CycleCount__c,cycle_count,cyclecount,cc,cyclic_count,VARCHAR,30,CC-001
Skladiste,Variance Quantity,Kolicina odstupanja,variance_qty,varianceQty,VarianceQty,variance-qty,VARIANCE_QTY,varianceqty,DIFF_MENG,VAR_QTY,Variance__c,variance_qty,variancequantity,var_qty,count_diff,DECIMAL,"15,3",-2
Skladiste,Pallet ID,ID palete,pallet_id,palletId,PalletId,pallet-id,PALLET_ID,palletid,PALETT,PALLET,Pallet__c,package_id,palletid,plt,"load_id, ulid",VARCHAR,20,PL001234
Skladiste,Container ID,ID kontejnera,container_id,containerId,ContainerId,container-id,CONTAINER_ID,containerid,CONTNR,CONT_ID,Container__c,package_id,containerid,cont,"box_id, kontejner",VARCHAR,20,CONT-001
Skladiste,Tote ID,ID kutije/tota,tote_id,toteId,ToteId,tote-id,TOTE_ID,toteid,TOTE,TOTE_ID,Tote__c,tote_id,toteid,tote,"bin_id, kutija",VARCHAR,20,TOTE-001
Skladiste,Carton Number,Broj kartona,carton_number,cartonNumber,CartonNumber,carton-number,CARTON_NUMBER,cartonnumber,KARTON,CARTON,Carton__c,carton,cartonnumber,crtn,"box, ctn",VARCHAR,20,CTN-001
Skladiste,License Plate Number,License plate (LPN),lpn,lpn,Lpn,lpn,LPN,lpn,HUNUMBER,LPN,LPN__c,lpn,lpn,lpn,"handling_unit, hu",VARCHAR,20,LPN-12345
Skladiste,Handling Unit,Logisticka jedinica,handling_unit,handlingUnit,HandlingUnit,handling-unit,HANDLING_UNIT,handlingunit,HUNUMBER,HU,HandlingUnit__c,package,handlingunit,hu,log_unit,VARCHAR,30,HU-001
Skladiste,Pack Quantity,Kolicina u pakovanju,pack_qty,packQty,PackQty,pack-qty,PACK_QTY,packqty,PACK_MENG,PACK_QTY,PackQty__c,packaging_qty,packquantity,pk_qty,case_qty,DECIMAL,"15,3",12
Skladiste,Cases Per Pallet,Kutija po paleti,cases_per_pallet,casesPerPallet,CasesPerPallet,cases-per-pallet,CASES_PER_PALLET,casesperpallet,PAL_KART,CASES_PAL,CasesPerPallet__c,cases_pal,casesperpallet,cpp,tu_per_lu,INT,5,24
Skladiste,Stock Transfer,Premestaj zaliha,stock_transfer,stockTransfer,StockTransfer,stock-transfer,STOCK_TRANSFER,stocktransfer,UMBUCH,STK_TRF,StockTransfer__c,stock_move,stocktransferid,st,transfer_order,VARCHAR,30,ST-001
Skladiste,Movement Type,Tip kretanja,movement_type,movementType,MovementType,movement-type,MOVEMENT_TYPE,movementtype,BWART,MVMT_TYPE,MovementType__c,move_type,movementtype,mvmt,"tx_type, tip_kretanja",VARCHAR,10,101
Skladiste,Receipt Quantity,Kolicina prijema,receipt_qty,receiptQty,ReceiptQty,receipt-qty,RECEIPT_QTY,receiptqty,MENGE_RCV,RCPT_QTY,ReceiptQty__c,qty_received,receivedquantity,rcpt_qty,received_qty,DECIMAL,"15,3",100
Skladiste,Issue Quantity,Kolicina izdavanja,issue_qty,issueQty,IssueQty,issue-qty,ISSUE_QTY,issueqty,MENGE_ISS,ISS_QTY,IssueQty__c,qty_issued,issuedquantity,iss_qty,dispatched_qty,DECIMAL,"15,3",75
Skladiste,Adjustment Reason,Razlog korekcije,adjustment_reason,adjustmentReason,AdjustmentReason,adjustment-reason,ADJUSTMENT_REASON,adjustmentreason,GRUND,ADJ_REASON,AdjustReason__c,reason_id,adjustmentreason,adj_rsn,reason_code,VARCHAR,50,Damaged
Skladiste,ASN Number,ASN broj (najava isporuke),asn_number,asnNumber,AsnNumber,asn-number,ASN_NUMBER,asnnumber,ASN_NUM,ASN,ASN__c,asn,asnnumber,asn,advance_ship_notice,VARCHAR,30,ASN-001
Skladiste,Dock Door,Dok vrata,dock_door,dockDoor,DockDoor,dock-door,DOCK_DOOR,dockdoor,TOR,DOCK,DockDoor__c,dock,dockdoor,dock,"door, gate",VARCHAR,10,D05
Skladiste,Yard Location,Lokacija u dvoristu,yard_location,yardLocation,YardLocation,yard-location,YARD_LOCATION,yardlocation,HOFLAGE,YARD_LOC,YardLocation__c,yard,yardlocation,yard,parking_spot,VARCHAR,20,Y-A-01
Skladiste,Carrier,Prevoznik,carrier,carrier,Carrier,carrier,CARRIER,carrier,SPEDI,CARRIER,Carrier__c,carrier_id,carrier,car,"shipper, transp",VARCHAR,100,DHL
Proizvodnja,Production Order,Radni nalog,production_order,productionOrder,ProductionOrder,production-order,PRODUCTION_ORDER,productionorder,AUFNR,PROD_ORD,ProductionOrder__c,production_id,productionorderid,prod_ord,"wo, work_order, ron",VARCHAR,30,PO-2026-001
Proizvodnja,Work Order Number,Broj radnog naloga,work_order_number,workOrderNumber,WorkOrderNumber,work-order-number,WORK_ORDER_NUMBER,workordernumber,AUFNR,WO_NO,WorkOrder.WorkOrderNumber,wo_number,workordernumber,wo_no,"wo, br_naloga",VARCHAR,30,WO-2026-001
Proizvodnja,Manufacturing Order,Proizvodni nalog,manufacturing_order,manufacturingOrder,ManufacturingOrder,manufacturing-order,MANUFACTURING_ORDER,manufacturingorder,AUFNR_MFG,MFG_ORDER,MfgOrder__c,mrp_production_id,manufacturingorder,mo,mfg_ord,VARCHAR,30,MO-2026-001
Proizvodnja,Routing,Tehnoloski proces,routing,routing,Routing,routing,ROUTING,routing,PLNNR,ROUTING,Routing__c,routing_id,routingid,rtg,process_route,VARCHAR,30,RTG-001
Proizvodnja,Operation Number,Broj operacije,operation_number,operationNumber,OperationNumber,operation-number,OPERATION_NUMBER,operationnumber,VORNR,OP_NO,OperationNumber__c,sequence,operationnumber,op_no,op_seq,VARCHAR,10,10
Proizvodnja,Operation Description,Opis operacije,operation_description,operationDescription,OperationDescription,operation-description,OPERATION_DESCRIPTION,operationdescription,LTXA1,OP_DESC,OperationDesc__c,name,description,op_desc,task_description,VARCHAR,255,Secenje materijala
Proizvodnja,Work Center,Radni centar,work_center,workCenter,WorkCenter,work-center,WORK_CENTER,workcenter,ARBPL,WORK_CTR,WorkCenter__c,workcenter_id,workcenterid,wc,"workplace, radno_mesto",VARCHAR,20,WC100
Proizvodnja,Resource ID,ID resursa,resource_id,resourceId,ResourceId,resource-id,RESOURCE_ID,resourceid,RESOURCE,RES_ID,Resource__c,resource_id,resourceid,res_id,"machine_id, asset_id",INT/UUID,-,RES-001
Proizvodnja,Machine Number,Broj masine,machine_number,machineNumber,MachineNumber,machine-number,MACHINE_NUMBER,machinenumber,MASCH_NR,MACH_NO,Machine__c,equipment_id,equipmentid,mach_no,equip_no,VARCHAR,20,MCH-001
Proizvodnja,Equipment ID,ID opreme,equipment_id,equipmentId,EquipmentId,equipment-id,EQUIPMENT_ID,equipmentid,EQUNR,EQUIP_ID,Equipment__c,equipment_id,equipmentid,equip_id,"asset_no, oprema",VARCHAR,20,EQ-001
Proizvodnja,BOM Number,Broj sastavnice,bom_number,bomNumber,BomNumber,bom-number,BOM_NUMBER,bomnumber,STLNR,BOM_NO,BOM__c,bom_id,billofmaterialsid,bom_no,"sastavnica, parts_list",VARCHAR,30,BOM-001
Proizvodnja,Component,Komponenta,component,component,Component,component,COMPONENT,component,MATKO,COMPONENT,Component__c,product_id,componentid,comp,"part, raw_mat",VARCHAR,40,COMP-A
Proizvodnja,Component Quantity,Kolicina komponente,component_qty,componentQty,ComponentQty,component-qty,COMPONENT_QTY,componentqty,MENGE_KOMP,COMP_QTY,ComponentQty__c,product_qty,componentqty,comp_qty,required_qty,DECIMAL,"15,3",5
Proizvodnja,Planned Quantity,Planirana kolicina,planned_qty,plannedQty,PlannedQty,planned-qty,PLANNED_QTY,plannedqty,PSMNG,PLAN_QTY,PlannedQty__c,product_qty,plannedquantity,pln_qty,plan_qty,DECIMAL,"15,3",100
Proizvodnja,Actual Quantity,Stvarna kolicina,actual_qty,actualQty,ActualQty,actual-qty,ACTUAL_QTY,actualqty,WEMNG,ACT_QTY,ActualQty__c,qty_produced,actualquantity,act_qty,realized_qty,DECIMAL,"15,3",98
Proizvodnja,Scrap Quantity,skart kolicina,scrap_qty,scrapQty,ScrapQty,scrap-qty,SCRAP_QTY,scrapqty,RSMNG,SCRAP_QTY,ScrapQty__c,qty_scrap,scrapquantity,scr_qty,"rejected_qty, skart",DECIMAL,"15,3",2
Proizvodnja,Rework Quantity,Kolicina za doradu,rework_qty,reworkQty,ReworkQty,rework-qty,REWORK_QTY,reworkqty,NACHARB,REWORK,ReworkQty__c,qty_rework,reworkquantity,rwk_qty,"rework, dorada",DECIMAL,"15,3",1
Proizvodnja,Yield,Yield/Iskoriscenje,yield,yield,Yield,yield,YIELD,yield,AUSBEUTE,YIELD,Yield__c,yield,yield,yld,output_rate,DECIMAL,"5,2",98
Proizvodnja,Setup Time,Vreme priprema,setup_time,setupTime,SetupTime,setup-time,SETUP_TIME,setuptime,RUEST,SETUP,SetupTime__c,time_setup,setuptime,st_time,prep_time,DECIMAL,"10,2",30
Proizvodnja,Run Time,Vreme rada,run_time,runTime,RunTime,run-time,RUN_TIME,runtime,BEARZ,RUN_TIME,RunTime__c,time_cycle,runtime,rt,"cycle_time, processing_time",DECIMAL,"10,2",120
Proizvodnja,Cycle Time,Cycle time,cycle_time,cycleTime,CycleTime,cycle-time,CYCLE_TIME,cycletime,BAZ,CYCLE_TIME,CycleTime__c,time_cycle,cycletime,ct,tact_time,DECIMAL,"10,2",45
Proizvodnja,Lead Time (Production),Vreme proizvodnje,prod_lead_time,prodLeadTime,ProdLeadTime,prod-lead-time,PROD_LEAD_TIME,prodleadtime,EIGENBE,PROD_LT,ProdLeadTime__c,produce_delay,productionleadtime,prod_lt,manufacturing_time,INT,5,5
Proizvodnja,Start Date,Datum pocetka,start_date,startDate,StartDate,start-date,START_DATE,startdate,GSTRP,START_DATE,StartDate,date_start,startdate,st_dt,begin_date,DATETIME,-,2026-04-15 08:00
Proizvodnja,End Date,Datum zavrsetka,end_date,endDate,EndDate,end-date,END_DATE,enddate,GLTRP,END_DATE,EndDate,date_end,enddate,end_dt,finish_date,DATETIME,-,2026-04-20 16:00
Proizvodnja,Planned Start,Planirani pocetak,planned_start,plannedStart,PlannedStart,planned-start,PLANNED_START,plannedstart,PSTRT,PLAN_ST,PlannedStart__c,date_planned_start,plannedstart,pln_st,sched_start,DATETIME,-,2026-04-15 08:00
Proizvodnja,Planned End,Planirani zavrsetak,planned_end,plannedEnd,PlannedEnd,planned-end,PLANNED_END,plannedend,PEND,PLAN_END,PlannedEnd__c,date_planned_end,plannedend,pln_end,sched_end,DATETIME,-,2026-04-20 16:00
Proizvodnja,Actual Start,Stvarni pocetak,actual_start,actualStart,ActualStart,actual-start,ACTUAL_START,actualstart,ASTRT,ACT_START,ActualStart__c,date_actual_start,actualstart,act_st,real_start,DATETIME,-,2026-04-15 09:00
Proizvodnja,Actual End,Stvarni zavrsetak,actual_end,actualEnd,ActualEnd,actual-end,ACTUAL_END,actualend,AEND,ACT_END,ActualEnd__c,date_actual_end,actualend,act_end,real_end,DATETIME,-,2026-04-20 17:00
Proizvodnja,Shift,Smena,shift,shift,Shift,shift,SHIFT,shift,SCHIC,SHIFT,Shift__c,shift_id,shiftid,sft,work_shift,VARCHAR,20,A
Proizvodnja,Shift Code,sifra smene,shift_code,shiftCode,ShiftCode,shift-code,SHIFT_CODE,shiftcode,SCHCD,SHIFT_CD,ShiftCode__c,shift_code,shiftcode,sft_cd,shift_id,VARCHAR,10,S1
Proizvodnja,Operator,Operater,operator,operator,Operator,operator,OPERATOR,operator,BEARB,OPERATOR,Operator__c,user_id,operatorid,op,"worker, machine_op",VARCHAR,100,M. Petrovic
Proizvodnja,Production Plant,Pogon,plant,plant,Plant,plant,PLANT,plant,WERKS,PLANT,Plant__c,plant_id,plant,plnt,"factory, fabrika",VARCHAR,10,PL01
Proizvodnja,Production Line,Linija proizvodnje,production_line,productionLine,ProductionLine,production-line,PRODUCTION_LINE,productionline,LINIE,PROD_LINE,ProdLine__c,line_id,line,prod_ln,"line, mfg_line",VARCHAR,20,LINE-A
Proizvodnja,Quality Status,Status kvaliteta,quality_status,qualityStatus,QualityStatus,quality-status,QUALITY_STATUS,qualitystatus,QM_STAT,QC_STAT,QualityStatus__c,quality_state,qualitystatus,qc_st,qa_status,VARCHAR,20,OK
Proizvodnja,Inspection Lot,Lot inspekcije,inspection_lot,inspectionLot,InspectionLot,inspection-lot,INSPECTION_LOT,inspectionlot,PRUEFLOS,INSP_LOT,Inspection__c,quality_alert_id,inspectionid,insp_lot,qc_lot,VARCHAR,30,INS-001
Proizvodnja,Defect Code,sifra defekta,defect_code,defectCode,DefectCode,defect-code,DEFECT_CODE,defectcode,MAKD,DEFECT_CD,DefectCode__c,defect_id,defectcode,def_cd,fault_code,VARCHAR,20,DEF-01
Proizvodnja,Defect Description,Opis defekta,defect_description,defectDescription,DefectDescription,defect-description,DEFECT_DESCRIPTION,defectdescription,MAKDX,DEFECT_DESC,DefectDesc__c,defect_description,defectdescription,def_desc,fault_desc,TEXT,-,Povrsinska greska
Proizvodnja,OEE,OEE,oee,oee,Oee,oee,OEE,oee,OEE,OEE,OEE__c,oee,oee,oee,overall_equipment_eff,DECIMAL,"5,2",85.5
Proizvodnja,Availability,Raspolozivost,availability,availability,Availability,availability,AVAILABILITY,availability,VERFUEG,AVAILABLE,Availability__c,availability,availability,avail,uptime_ratio,DECIMAL,"5,2",92
Proizvodnja,Performance,Performansi,performance,performance,Performance,performance,PERFORMANCE,performance,LEISTU,PERFORM,Performance__c,performance,performance,perf,speed_ratio,DECIMAL,"5,2",95
Proizvodnja,Quality Rate,Stopa kvaliteta,quality_rate,qualityRate,QualityRate,quality-rate,QUALITY_RATE,qualityrate,QUAL_RATE,QC_RATE,QualityRate__c,quality_rate,qualityrate,qr,first_pass_yield,DECIMAL,"5,2",98.5
Proizvodnja,Downtime,Zastoj,downtime,downtime,Downtime,downtime,DOWNTIME,downtime,STILLST,DOWNTIME,Downtime__c,downtime,downtime,dt,idle_time,DECIMAL,"10,2",15
Proizvodnja,Reason for Downtime,Razlog zastoja,downtime_reason,downtimeReason,DowntimeReason,downtime-reason,DOWNTIME_REASON,downtimereason,GRUND_ZAST,DT_REASON,DowntimeReason__c,downtime_reason,downtimereason,dt_rsn,idle_reason,VARCHAR,100,Maintenance
Proizvodnja,Maintenance Order,Nalog za odrzavanje,maintenance_order,maintenanceOrder,MaintenanceOrder,maintenance-order,MAINTENANCE_ORDER,maintenanceorder,AUFNR_MAI,MAINT_ORD,MaintOrder__c,maintenance_id,maintenanceorderid,maint_ord,"mo, work_request",VARCHAR,30,MAINT-001
Proizvodnja,Calibration Date,Datum kalibracije,calibration_date,calibrationDate,CalibrationDate,calibration-date,CALIBRATION_DATE,calibrationdate,KALIB_DAT,CALIB_DT,CalibrationDate__c,calibration_date,calibrationdate,cal_dt,last_calibration,DATE,-,2026-01-15
HR,Employee ID,ID zaposlenog,employee_id,employeeId,EmployeeId,employee-id,EMPLOYEE_ID,employeeid,PERNR,EMP_ID,EmployeeId__c,employee_id,employeeid,emp_id,"staff_id, personnel_no",VARCHAR,20,EMP-001
HR,Personnel Number,Personalni broj,personnel_number,personnelNumber,PersonnelNumber,personnel-number,PERSONNEL_NUMBER,personnelnumber,PERNR,PERS_NO,PersonnelNo__c,identification_id,personnelnumber,pers_no,"staff_no, evid_br",VARCHAR,20,P00123
HR,Hire Date,Datum zaposlenja,hire_date,hireDate,HireDate,hire-date,HIRE_DATE,hiredate,BEGDA,HIRE_DT,HireDate__c,date_hired,hiredon,hr_dt,"start_date, datum_zaposlenja",DATE,-,2020-09-01
